Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Sending FED_ID, NO REACTOR, 2, -1, -1702002732630521520, 0, -1000225940, NO TRIGGER, 0, 0, 1114, 0
Receiving ACK, NO REACTOR, 2, -1, -1702002732630521520, 0, -1000145249, NO TRIGGER, 0, 0, 1148, 0
Sending TIMESTAMP, NO REACTOR, 2, -1, -1000130077, 0, -1000129507, NO TRIGGER, 0, 0, 471, 0
Receiving TIMESTAMP, NO REACTOR, 2, -1, 0, 0, -999869434, NO TRIGGER, 0, 0, 1206, 0
Sending NET, NO REACTOR, 2, -1, 0, 0, -999808704, NO TRIGGER, 0, 0, 522, 0
Receiving PTAG, NO REACTOR, 2, -1, 0, 0, -999708333, NO TRIGGER, 0, 0, 2100, 0
Receiving TAGGED_MSG, NO REACTOR, 2, -1, 0, 0, -999574398, NO TRIGGER, 0, 0, 1724, 0
Receiving TAGGED_MSG, NO REACTOR, 2, -1, 1000000000, 0, -999484342, NO TRIGGER, 0, 0, 1724, 1
Receiving TAGGED_MSG, NO REACTOR, 2, -1, 0, 0, -999449070, NO TRIGGER, 0, 0, 1724, 2
Sending LTC, NO REACTOR, 2, -1, 0, 0, -999428819, NO TRIGGER, 0, 0, 522, 1
Sending NET, NO REACTOR, 2, -1, 1000000000, 0, -999393307, NO TRIGGER, 0, 0, 522, 2
Receiving TAG, NO REACTOR, 2, -1, 0, 0, -999368869, NO TRIGGER, 0, 0, 1880, 0
Receiving TAGGED_MSG, NO REACTOR, 2, -1, 2000000000, 0, -999361872, NO TRIGGER, 0, 0, 1724, 3
Receiving TAGGED_MSG, NO REACTOR, 2, -1, 1000000000, 0, -999328678, NO TRIGGER, 0, 0, 1724, 4
Receiving TAG, NO REACTOR, 2, -1, 1000000000, 0, -999312516, NO TRIGGER, 0, 0, 1880, 1
Receiving TAGGED_MSG, NO REACTOR, 2, -1, 2000000000, 0, -999298673, NO TRIGGER, 0, 0, 1724, 5
Receiving TAG, NO REACTOR, 2, -1, 2000000000, 0, -999281751, NO TRIGGER, 0, 0, 1880, 2
Receiving TAG, NO REACTOR, 2, -1, 7521369304224254287, -1, -999256784, NO TRIGGER, 0, 0, 1880, 3
Sending LTC, NO REACTOR, 2, -1, 1000000000, 0, -999003607, NO TRIGGER, 0, 0, 522, 3
Sending LTC, NO REACTOR, 2, -1, 2000000000, 0, -998963067, NO TRIGGER, 0, 0, 522, 4
