Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Sending FED_ID, NO REACTOR, 2, -1, -1702260913859412687, 0, -1010369249, NO TRIGGER, 0, 0, 1114, 0
Receiving ACK, NO REACTOR, 2, -1, -1702260913859412687, 0, -1010291375, NO TRIGGER, 0, 0, 1148, 0
Sending TIMESTAMP, NO REACTOR, 2, -1, -1010273356, 0, -1010271959, NO TRIGGER, 0, 0, 471, 0
Receiving TIMESTAMP, NO REACTOR, 2, -1, 0, 0, -999604414, NO TRIGGER, 0, 0, 1206, 0
Sending NET, NO REACTOR, 2, -1, 0, 0, -999508940, NO TRIGGER, 0, 0, 522, 0
Receiving PTAG, NO REACTOR, 2, -1, 0, 0, -999230200, NO TRIGGER, 0, 0, 2100, 0
Receiving TAGGED_MSG, NO REACTOR, 2, -1, 0, 0, -999148695, NO TRIGGER, 0, 0, 1724, 0
Receiving TAGGED_MSG, NO REACTOR, 2, -1, 0, 0, -999084999, NO TRIGGER, 0, 0, 1724, 1
Receiving TAGGED_MSG, NO REACTOR, 2, -1, 0, 0, -998983518, NO TRIGGER, 0, 0, 1724, 2
Sending LTC, NO REACTOR, 2, -1, 0, 0, -998965289, NO TRIGGER, 0, 0, 522, 1
Sending NET, NO REACTOR, 2, -1, 2000000000, 0, -998936654, NO TRIGGER, 0, 0, 522, 2
Receiving TAGGED_MSG, NO REACTOR, 2, -1, 1000000000, 0, -998914863, NO TRIGGER, 0, 0, 1724, 3
Sending NET, NO REACTOR, 2, -1, 1000000000, 0, -998869396, NO TRIGGER, 0, 0, 522, 3
Receiving TAGGED_MSG, NO REACTOR, 2, -1, 2000000000, 0, -998829726, NO TRIGGER, 0, 0, 1724, 4
Sending NET, NO REACTOR, 2, -1, 1000000000, 0, -998813173, NO TRIGGER, 0, 0, 522, 4
Receiving PTAG, NO REACTOR, 2, -1, 1000000000, 0, -998783141, NO TRIGGER, 0, 0, 2100, 1
Receiving TAGGED_MSG, NO REACTOR, 2, -1, 1000000000, 0, -998733483, NO TRIGGER, 0, 0, 1724, 5
Receiving TAGGED_MSG, NO REACTOR, 2, -1, 1000000000, 0, -998710086, NO TRIGGER, 0, 0, 1724, 6
Receiving TAG, NO REACTOR, 2, -1, 1000000000, 0, -998687737, NO TRIGGER, 0, 0, 1880, 0
Receiving TAGGED_MSG, NO REACTOR, 2, -1, 2000000000, 0, -998681451, NO TRIGGER, 0, 0, 1724, 7
Sending LTC, NO REACTOR, 2, -1, 1000000000, 0, -998644225, NO TRIGGER, 0, 0, 522, 5
Sending NET, NO REACTOR, 2, -1, 2000000000, 0, -998627672, NO TRIGGER, 0, 0, 522, 6
Receiving TAGGED_MSG, NO REACTOR, 2, -1, 2000000000, 0, -998597710, NO TRIGGER, 0, 0, 1724, 8
Receiving TAG, NO REACTOR, 2, -1, 2000000000, 0, -998584859, NO TRIGGER, 0, 0, 1880, 1
Sending LTC, NO REACTOR, 2, -1, 2000000000, 0, -998572148, NO TRIGGER, 0, 0, 522, 7
Sending NET, NO REACTOR, 2, -1, 7521111122995363120, -1, -998557481, NO TRIGGER, 0, 0, 522, 8
Receiving TAG, NO REACTOR, 2, -1, 7521111122995363120, -1, -998392304, NO TRIGGER, 0, 0, 1880, 2
