Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Sending FED_ID, NO REACTOR, 0, -1, -1702002732767298961, 0, -1009934956, NO TRIGGER, 0, 0, 1114, 0
Receiving ACK, NO REACTOR, 0, -1, -1702002732767298961, 0, -1009870458, NO TRIGGER, 0, 0, 1148, 0
Sending TIMESTAMP, NO REACTOR, 0, -1, -1009853886, 0, -1009853326, NO TRIGGER, 0, 0, 471, 0
Receiving TIMESTAMP, NO REACTOR, 0, -1, 0, 0, -999716389, NO TRIGGER, 0, 0, 1206, 0
Sending NET, NO REACTOR, 0, -1, 0, 0, -999590041, NO TRIGGER, 0, 0, 522, 0
Sending TAGGED_MSG, NO REACTOR, 0, -1, 0, 0, -999488111, NO TRIGGER, 0, 0, 435, 0
Sending TAGGED_MSG, NO REACTOR, 0, -1, 0, 0, -999464782, NO TRIGGER, 0, 0, 435, 1
Sending LTC, NO REACTOR, 0, -1, 0, 0, -999450229, NO TRIGGER, 0, 0, 522, 1
Sending NET, NO REACTOR, 0, -1, 1000000000, 0, -999443912, NO TRIGGER, 0, 0, 522, 2
Receiving PTAG, NO REACTOR, 0, -1, 0, 0, -999422343, NO TRIGGER, 0, 0, 2100, 0
Sending TAGGED_MSG, NO REACTOR, 0, -1, 1000000000, 0, -999400853, NO TRIGGER, 0, 0, 435, 2
Sending TAGGED_MSG, NO REACTOR, 0, -1, 1000000000, 0, -999387480, NO TRIGGER, 0, 0, 435, 3
Sending LTC, NO REACTOR, 0, -1, 1000000000, 0, -999376065, NO TRIGGER, 0, 0, 522, 3
Sending NET, NO REACTOR, 0, -1, 2000000000, 0, -999370238, NO TRIGGER, 0, 0, 522, 4
Sending TAGGED_MSG, NO REACTOR, 0, -1, 2000000000, 0, -999364551, NO TRIGGER, 0, 0, 435, 4
Sending TAGGED_MSG, NO REACTOR, 0, -1, 2000000000, 0, -999354256, NO TRIGGER, 0, 0, 435, 5
Sending LTC, NO REACTOR, 0, -1, 2000000000, 0, -999351127, NO TRIGGER, 0, 0, 522, 5
Sending NET, NO REACTOR, 0, -1, 7521369304087476846, -1, -999349678, NO TRIGGER, 0, 0, 522, 6
Receiving PTAG, NO REACTOR, 0, -1, 2000000000, 0, -998992833, NO TRIGGER, 0, 0, 2100, 1
