Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Sending FED_ID, NO REACTOR, 3, -1, -1702260913859412687, 0, -1009743115, NO TRIGGER, 0, 0, 1114, 0
Receiving ACK, NO REACTOR, 3, -1, -1702260913859412687, 0, -1009685704, NO TRIGGER, 0, 0, 1148, 0
Sending TIMESTAMP, NO REACTOR, 3, -1, -1009667406, 0, -1009665520, NO TRIGGER, 0, 0, 471, 0
Receiving TIMESTAMP, NO REACTOR, 3, -1, 0, 0, -999664548, NO TRIGGER, 0, 0, 1206, 0
Sending NET, NO REACTOR, 3, -1, 0, 0, -999575220, NO TRIGGER, 0, 0, 522, 0
Receiving PTAG, NO REACTOR, 3, -1, 0, 0, -999448806, NO TRIGGER, 0, 0, 2100, 0
Receiving TAGGED_MSG, NO REACTOR, 3, -1, 0, 0, -999116218, NO TRIGGER, 0, 0, 1724, 0
Sending LTC, NO REACTOR, 3, -1, 0, 0, -999054478, NO TRIGGER, 0, 0, 522, 1
Receiving TAG, NO REACTOR, 3, -1, 0, 0, -999043652, NO TRIGGER, 0, 0, 1880, 0
Sending NET, NO REACTOR, 3, -1, 2000000000, 0, -999017810, NO TRIGGER, 0, 0, 522, 2
Receiving TAGGED_MSG, NO REACTOR, 3, -1, 1000000000, 0, -998992109, NO TRIGGER, 0, 0, 1724, 1
Sending NET, NO REACTOR, 3, -1, 1000000000, 0, -998976394, NO TRIGGER, 0, 0, 522, 3
Receiving TAG, NO REACTOR, 3, -1, 1000000000, 0, -998912977, NO TRIGGER, 0, 0, 1880, 1
Receiving TAGGED_MSG, NO REACTOR, 3, -1, 2000000000, 0, -998864717, NO TRIGGER, 0, 0, 1724, 2
Sending LTC, NO REACTOR, 3, -1, 1000000000, 0, -998849212, NO TRIGGER, 0, 0, 522, 4
Sending NET, NO REACTOR, 3, -1, 2000000000, 0, -998826932, NO TRIGGER, 0, 0, 522, 5
Receiving TAG, NO REACTOR, 3, -1, 2000000000, 0, -998781255, NO TRIGGER, 0, 0, 1880, 2
Sending LTC, NO REACTOR, 3, -1, 2000000000, 0, -998771617, NO TRIGGER, 0, 0, 522, 6
Sending NET, NO REACTOR, 3, -1, 7521111122995363120, -1, -998756950, NO TRIGGER, 0, 0, 522, 7
