Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Receiving FED_ID, NO REACTOR, -1, 1, -1702002732767298961, 0, -1000040161, NO TRIGGER, 0, 0, 1173, 3
Sending ACK, NO REACTOR, -1, 1, -1702002732767298961, 0, -1000037042, NO TRIGGER, 0, 0, 1238, 3
Receiving TIMESTAMP, NO REACTOR, -1, 1, -1000000000, 0, -999840508, NO TRIGGER, 0, 0, 802, 3
Sending TIMESTAMP, NO REACTOR, -1, 1, 0, 0, -999828704, NO TRIGGER, 0, 0, 835, 0
Sending PTAG, NO REACTOR, -1, 1, 0, 0, -999572429, NO TRIGGER, 0, 0, 237, 1
Receiving NET, NO REACTOR, -1, 1, 0, 0, -999425231, NO TRIGGER, 0, 0, 543, 3
Receiving TAGGED_MSG, NO REACTOR, -1, 1, 0, 0, -999366370, NO TRIGGER, 0, 0, 402, 2
Receiving TAGGED_MSG, NO REACTOR, -1, 1, 0, 0, -999336545, NO TRIGGER, 0, 0, 402, 3
Receiving LTC, NO REACTOR, -1, 1, 0, 0, -999322402, NO TRIGGER, 0, 0, 517, 1
Receiving NET, NO REACTOR, -1, 1, 1000000000, 0, -999312196, NO TRIGGER, 0, 0, 543, 4
Receiving TAGGED_MSG, NO REACTOR, -1, 1, 1000000000, 0, -999299513, NO TRIGGER, 0, 0, 402, 4
Receiving TAGGED_MSG, NO REACTOR, -1, 1, 1000000000, 0, -999274825, NO TRIGGER, 0, 0, 402, 6
Receiving LTC, NO REACTOR, -1, 1, 1000000000, 0, -999235744, NO TRIGGER, 0, 0, 517, 2
Receiving NET, NO REACTOR, -1, 1, 2000000000, 0, -999178322, NO TRIGGER, 0, 0, 543, 6
Receiving TAGGED_MSG, NO REACTOR, -1, 1, 2000000000, 0, -999173744, NO TRIGGER, 0, 0, 402, 8
Receiving TAGGED_MSG, NO REACTOR, -1, 1, 2000000000, 0, -999160730, NO TRIGGER, 0, 0, 402, 9
Receiving LTC, NO REACTOR, -1, 1, 2000000000, 0, -999149536, NO TRIGGER, 0, 0, 517, 6
Receiving NET, NO REACTOR, -1, 1, 7521369304087476846, -1, -999137772, NO TRIGGER, 0, 0, 543, 7
Receiving FED_ID, NO REACTOR, -1, 2, -1702002732767298961, 0, -1009777633, NO TRIGGER, 0, 0, 1173, 1
Sending ACK, NO REACTOR, -1, 2, -1702002732767298961, 0, -1009777163, NO TRIGGER, 0, 0, 1238, 1
Receiving TIMESTAMP, NO REACTOR, -1, 2, -1009722780, 0, -1009671995, NO TRIGGER, 0, 0, 802, 1
Sending TIMESTAMP, NO REACTOR, -1, 2, 0, 0, -999803327, NO TRIGGER, 0, 0, 835, 2
Receiving NET, NO REACTOR, -1, 2, 0, 0, -999513008, NO TRIGGER, 0, 0, 543, 2
Sending PTAG, NO REACTOR, -1, 2, 0, 0, -999481884, NO TRIGGER, 0, 0, 237, 2
Sending TAGGED_MSG, NO REACTOR, -1, 2, 0, 0, -999395056, NO TRIGGER, 0, 0, 479, 0
