Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Sending FED_ID, NO REACTOR, 0, -1, -1702002732048868485, 0, -1001260544, NO TRIGGER, 0, 0, 1114, 0
Receiving ACK, NO REACTOR, 0, -1, -1702002732048868485, 0, -1001125510, NO TRIGGER, 0, 0, 1148, 0
Sending TIMESTAMP, NO REACTOR, 0, -1, -1001108179, 0, -1001106959, NO TRIGGER, 0, 0, 471, 0
Receiving TIMESTAMP, NO REACTOR, 0, -1, 0, 0, -999765635, NO TRIGGER, 0, 0, 1206, 0
Sending NET, NO REACTOR, 0, -1, 0, 0, -999653660, NO TRIGGER, 0, 0, 522, 0
Receiving PTAG, NO REACTOR, 0, -1, 0, 0, -999536517, NO TRIGGER, 0, 0, 2100, 0
Sending TAGGED_MSG, NO REACTOR, 0, -1, 0, 0, -999402312, NO TRIGGER, 0, 0, 435, 0
Receiving TAGGED_MSG, NO REACTOR, 0, -1, 0, 0, -999192295, NO TRIGGER, 0, 0, 1724, 0
Sending LTC, NO REACTOR, 0, -1, 0, 0, -999139980, NO TRIGGER, 0, 0, 522, 1
Receiving TAG, NO REACTOR, 0, -1, 0, 0, -999131635, NO TRIGGER, 0, 0, 1880, 0
Sending NET, NO REACTOR, 0, -1, 0, 1, -999123678, NO TRIGGER, 0, 0, 522, 2
Receiving PTAG, NO REACTOR, 0, -1, 0, 1, -999101539, NO TRIGGER, 0, 0, 2100, 1
Sending TAGGED_MSG, NO REACTOR, 0, -1, 0, 1, -999090715, NO TRIGGER, 0, 0, 435, 1
Receiving TAGGED_MSG, NO REACTOR, 0, -1, 0, 1, -998997700, NO TRIGGER, 0, 0, 1724, 1
Sending LTC, NO REACTOR, 0, -1, 0, 1, -998985256, NO TRIGGER, 0, 0, 522, 3
Receiving TAG, NO REACTOR, 0, -1, 0, 1, -998974981, NO TRIGGER, 0, 0, 1880, 1
Sending NET, NO REACTOR, 0, -1, 0, 2, -998962977, NO TRIGGER, 0, 0, 522, 4
Receiving PTAG, NO REACTOR, 0, -1, 0, 2, -998931782, NO TRIGGER, 0, 0, 2100, 2
