Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Sending FED_ID, NO REACTOR, 1, -1, -1702002732048868485, 0, -1000093495, NO TRIGGER, 0, 0, 1114, 0
Receiving ACK, NO REACTOR, 1, -1, -1702002732048868485, 0, -1000017002, NO TRIGGER, 0, 0, 1148, 0
Sending TIMESTAMP, NO REACTOR, 1, -1, -1000000000, 0, -999999201, NO TRIGGER, 0, 0, 471, 0
Receiving TIMESTAMP, NO REACTOR, 1, -1, 0, 0, -999760437, NO TRIGGER, 0, 0, 1206, 0
Sending NET, NO REACTOR, 1, -1, 0, 0, -999657887, NO TRIGGER, 0, 0, 522, 0
Receiving PTAG, NO REACTOR, 1, -1, 0, 0, -999552749, NO TRIGGER, 0, 0, 2100, 0
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 0, 0, -999339413, NO TRIGGER, 0, 0, 1724, 0
Sending TAGGED_MSG, NO REACTOR, 1, -1, 0, 0, -999238882, NO TRIGGER, 0, 0, 435, 0
Sending LTC, NO REACTOR, 1, -1, 0, 0, -999215384, NO TRIGGER, 0, 0, 522, 1
Sending NET, NO REACTOR, 1, -1, 7521369304805907322, -1, -999208027, NO TRIGGER, 0, 0, 522, 2
Receiving PTAG, NO REACTOR, 1, -1, 0, 1, -999092254, NO TRIGGER, 0, 0, 2100, 1
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 0, 1, -999061969, NO TRIGGER, 0, 0, 1724, 1
Sending TAGGED_MSG, NO REACTOR, 1, -1, 0, 1, -999040709, NO TRIGGER, 0, 0, 435, 1
Sending LTC, NO REACTOR, 1, -1, 0, 1, -999020669, NO TRIGGER, 0, 0, 522, 3
Sending NET, NO REACTOR, 1, -1, 7521369304805907322, -1, -999011363, NO TRIGGER, 0, 0, 522, 4
Receiving PTAG, NO REACTOR, 1, -1, 0, 2, -998920248, NO TRIGGER, 0, 0, 2100, 2
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 0, 2, -998885965, NO TRIGGER, 0, 0, 1724, 2
Sending TAGGED_MSG, NO REACTOR, 1, -1, 0, 2, -998860607, NO TRIGGER, 0, 0, 435, 2
Sending LTC, NO REACTOR, 1, -1, 0, 2, -998840997, NO TRIGGER, 0, 0, 522, 5
Sending NET, NO REACTOR, 1, -1, 7521369304805907322, -1, -998835419, NO TRIGGER, 0, 0, 522, 6
Receiving PTAG, NO REACTOR, 1, -1, 0, 3, -998749181, NO TRIGGER, 0, 0, 2100, 3
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 0, 3, -998704503, NO TRIGGER, 0, 0, 1724, 3
Sending TAGGED_MSG, NO REACTOR, 1, -1, 0, 3, -998682674, NO TRIGGER, 0, 0, 435, 3
Sending LTC, NO REACTOR, 1, -1, 0, 3, -998666612, NO TRIGGER, 0, 0, 522, 7
Sending NET, NO REACTOR, 1, -1, 7521369304805907322, -1, -998660935, NO TRIGGER, 0, 0, 522, 8
Receiving PTAG, NO REACTOR, 1, -1, 0, 4, -998572588, NO TRIGGER, 0, 0, 2100, 4
