Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Receiving FED_ID, NO REACTOR, -1, 1, -1702260913172564454, 0, -1000252200, NO TRIGGER, 0, 0, 1173, 0
Sending ACK, NO REACTOR, -1, 1, -1702260913172564454, 0, -1000248847, NO TRIGGER, 0, 0, 1238, 0
Receiving TIMESTAMP, NO REACTOR, -1, 1, -1000195697, 0, -1000033873, NO TRIGGER, 0, 0, 802, 0
Sending TIMESTAMP, NO REACTOR, -1, 1, 0, 0, -999831471, NO TRIGGER, 0, 0, 835, 1
Receiving NET, NO REACTOR, -1, 1, 0, 0, -999715254, NO TRIGGER, 0, 0, 543, 0
Sending PTAG, NO REACTOR, -1, 1, 0, 0, -999649183, NO TRIGGER, 0, 0, 237, 0
Sending TAGGED_MSG, NO REACTOR, -1, 1, 0, 0, -999378126, NO TRIGGER, 0, 0, 479, 0
Receiving TAGGED_MSG, NO REACTOR, -1, 1, 0, 0, -999202822, NO TRIGGER, 0, 0, 402, 1
Receiving LTC, NO REACTOR, -1, 1, 0, 0, -999175025, NO TRIGGER, 0, 0, 517, 0
Receiving NET, NO REACTOR, -1, 1, 7521111123682211353, -1, -999139196, NO TRIGGER, 0, 0, 543, 2
Sending PTAG, NO REACTOR, -1, 1, 0, 1, -999007893, NO TRIGGER, 0, 0, 237, 3
Sending TAGGED_MSG, NO REACTOR, -1, 1, 0, 1, -998905574, NO TRIGGER, 0, 0, 479, 2
Receiving TAGGED_MSG, NO REACTOR, -1, 1, 0, 1, -998810239, NO TRIGGER, 0, 0, 402, 3
Receiving LTC, NO REACTOR, -1, 1, 0, 1, -998794106, NO TRIGGER, 0, 0, 517, 2
Receiving NET, NO REACTOR, -1, 1, 7521111123682211353, -1, -998776855, NO TRIGGER, 0, 0, 543, 4
Sending PTAG, NO REACTOR, -1, 1, 0, 2, -998636123, NO TRIGGER, 0, 0, 237, 5
Sending TAGGED_MSG, NO REACTOR, -1, 1, 0, 2, -998537925, NO TRIGGER, 0, 0, 479, 4
Receiving TAGGED_MSG, NO REACTOR, -1, 1, 0, 2, -998424292, NO TRIGGER, 0, 0, 402, 5
Receiving LTC, NO REACTOR, -1, 1, 0, 2, -998404946, NO TRIGGER, 0, 0, 517, 4
Receiving NET, NO REACTOR, -1, 1, 7521111123682211353, -1, -998384203, NO TRIGGER, 0, 0, 543, 6
Sending PTAG, NO REACTOR, -1, 1, 0, 3, -998334056, NO TRIGGER, 0, 0, 237, 7
Sending TAGGED_MSG, NO REACTOR, -1, 1, 0, 3, -998264423, NO TRIGGER, 0, 0, 479, 6
Receiving TAGGED_MSG, NO REACTOR, -1, 1, 0, 3, -998189203, NO TRIGGER, 0, 0, 402, 7
Receiving LTC, NO REACTOR, -1, 1, 0, 3, -998171394, NO TRIGGER, 0, 0, 517, 6
Receiving NET, NO REACTOR, -1, 1, 7521111123682211353, -1, -998149743, NO TRIGGER, 0, 0, 543, 8
