Start time:, 1702260913172564454
End time:, 1702260912176481549
Total time:, -996082905

Total Event Occurrences
Sending ACK, 2
Sending TIMESTAMP, 2
Sending STOP_REQ, 2
Sending STOP_GRN, 2
Sending PTAG, 22
Sending TAG, 12
Sending PORT_ABS, 2
Sending TAGGED_MSG, 20
Receiving TIMESTAMP, 2
Receiving NET, 26
Receiving LTC, 22
Receiving STOP_REQ, 1
Receiving STOP_REQ_REP, 1
Receiving FED_ID, 2
Receiving PORT_ABS, 2
Receiving TAGGED_MSG, 20

Reaction Executions
Reactor, Reaction, Occurrences, Total Time, Pct Total Time, Avg Time, Max Time, Min Time
