Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Sending FED_ID, NO REACTOR, 0, -1, -1702260913939954473, 0, -1000128300, NO TRIGGER, 0, 0, 1114, 0
Receiving ACK, NO REACTOR, 0, -1, -1702260913939954473, 0, -1000033873, NO TRIGGER, 0, 0, 1148, 0
Sending TIMESTAMP, NO REACTOR, 0, -1, -1000000000, 0, -999997136, NO TRIGGER, 0, 0, 471, 0
Receiving TIMESTAMP, NO REACTOR, 0, -1, 0, 0, -999833426, NO TRIGGER, 0, 0, 1206, 0
Sending NET, NO REACTOR, 0, -1, 0, 0, -999781883, NO TRIGGER, 0, 0, 522, 0
Receiving PTAG, NO REACTOR, 0, -1, 0, 0, -999641361, NO TRIGGER, 0, 0, 2100, 0
Sending PORT_ABS, NO REACTOR, 0, -1, 0, 0, -999555036, NO TRIGGER, 0, 0, 1440, 0
Receiving PORT_ABS, NO REACTOR, 0, -1, 0, 0, -999470108, NO TRIGGER, 0, 0, 1605, 0
Sending LTC, NO REACTOR, 0, -1, 0, 0, -999451111, NO TRIGGER, 0, 0, 522, 1
Sending NET, NO REACTOR, 0, -1, 2000000000, 0, -999431625, NO TRIGGER, 0, 0, 522, 2
Receiving PTAG, NO REACTOR, 0, -1, 2000000000, 0, -999313103, NO TRIGGER, 0, 0, 2100, 1
Sending PORT_ABS, NO REACTOR, 0, -1, 2000000000, 0, -999271127, NO TRIGGER, 0, 0, 1440, 1
Receiving PORT_ABS, NO REACTOR, 0, -1, 2000000000, 0, -999221470, NO TRIGGER, 0, 0, 1605, 1
Sending LTC, NO REACTOR, 0, -1, 2000000000, 0, -999199679, NO TRIGGER, 0, 0, 522, 3
Sending NET, NO REACTOR, 0, -1, 7521111122914821334, -1, -999173488, NO TRIGGER, 0, 0, 522, 4
Receiving TAG, NO REACTOR, 0, -1, 2000000000, 0, -999122015, NO TRIGGER, 0, 0, 1880, 0
Receiving TAG, NO REACTOR, 0, -1, 7521111122914821334, -1, -998959632, NO TRIGGER, 0, 0, 1880, 1
