Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Receiving FED_ID, NO REACTOR, -1, 1, -1702002732864458968, 0, -1000058321, NO TRIGGER, 0, 0, 1173, 1
Sending ACK, NO REACTOR, -1, 1, -1702002732864458968, 0, -1000057532, NO TRIGGER, 0, 0, 1238, 1
Receiving TIMESTAMP, NO REACTOR, -1, 1, -1000000000, 0, -999922988, NO TRIGGER, 0, 0, 802, 1
Sending TIMESTAMP, NO REACTOR, -1, 1, 0, 0, -999920739, NO TRIGGER, 0, 0, 835, 0
Receiving NET, NO REACTOR, -1, 1, 0, 0, -999806205, NO TRIGGER, 0, 0, 543, 0
Sending PTAG, NO REACTOR, -1, 1, 0, 0, -999750412, NO TRIGGER, 0, 0, 237, 0
Sending PORT_ABS, NO REACTOR, -1, 1, 0, 0, -999643054, NO TRIGGER, 0, 0, 356, 0
Receiving PORT_ABS, NO REACTOR, -1, 1, 0, 0, -999587162, NO TRIGGER, 0, 0, 311, 1
Receiving LTC, NO REACTOR, -1, 1, 0, 0, -999557416, NO TRIGGER, 0, 0, 517, 0
Receiving NET, NO REACTOR, -1, 1, 2000000000, 0, -999527391, NO TRIGGER, 0, 0, 543, 2
Sending PTAG, NO REACTOR, -1, 1, 2000000000, 0, -999477945, NO TRIGGER, 0, 0, 237, 3
Sending PORT_ABS, NO REACTOR, -1, 1, 2000000000, 0, -999407959, NO TRIGGER, 0, 0, 356, 2
Receiving PORT_ABS, NO REACTOR, -1, 1, 2000000000, 0, -999385990, NO TRIGGER, 0, 0, 311, 3
Receiving LTC, NO REACTOR, -1, 1, 2000000000, 0, -999353436, NO TRIGGER, 0, 0, 517, 2
Sending TAG, NO REACTOR, -1, 1, 2000000000, 0, -999319702, NO TRIGGER, 0, 0, 198, 2
Sending TAG, NO REACTOR, -1, 1, 7521369303990316839, -1, -999277363, NO TRIGGER, 0, 0, 198, 3
Receiving NET, NO REACTOR, -1, 1, 7521369303990316839, -1, -999263290, NO TRIGGER, 0, 0, 543, 5
Receiving FED_ID, NO REACTOR, -1, 0, -1702002732864458968, 0, -1000593060, NO TRIGGER, 0, 0, 1173, 0
Sending ACK, NO REACTOR, -1, 0, -1702002732864458968, 0, -1000583715, NO TRIGGER, 0, 0, 1238, 0
Receiving TIMESTAMP, NO REACTOR, -1, 0, -1000528502, 0, -1000425662, NO TRIGGER, 0, 0, 802, 0
Sending TIMESTAMP, NO REACTOR, -1, 0, 0, 0, -999912183, NO TRIGGER, 0, 0, 835, 1
Sending PTAG, NO REACTOR, -1, 0, 0, 0, -999736619, NO TRIGGER, 0, 0, 237, 1
Receiving NET, NO REACTOR, -1, 0, 0, 0, -999721446, NO TRIGGER, 0, 0, 543, 1
Receiving PORT_ABS, NO REACTOR, -1, 0, 0, 0, -999643374, NO TRIGGER, 0, 0, 311, 0
Sending PORT_ABS, NO REACTOR, -1, 0, 0, 0, -999584663, NO TRIGGER, 0, 0, 356, 1
Sending TAG, NO REACTOR, -1, 0, 0, 0, -999554897, NO TRIGGER, 0, 0, 198, 0
Receiving LTC, NO REACTOR, -1, 0, 0, 0, -999496986, NO TRIGGER, 0, 0, 517, 1
Receiving NET, NO REACTOR, -1, 0, 2000000000, 0, -999487700, NO TRIGGER, 0, 0, 543, 3
Sending PTAG, NO REACTOR, -1, 0, 2000000000, 0, -999486731, NO TRIGGER, 0, 0, 237, 2
Receiving PORT_ABS, NO REACTOR, -1, 0, 2000000000, 0, -999408189, NO TRIGGER, 0, 0, 311, 2
Sending PORT_ABS, NO REACTOR, -1, 0, 2000000000, 0, -999385410, NO TRIGGER, 0, 0, 356, 3
Sending TAG, NO REACTOR, -1, 0, 2000000000, 0, -999348068, NO TRIGGER, 0, 0, 198, 1
Receiving LTC, NO REACTOR, -1, 0, 2000000000, 0, -999345150, NO TRIGGER, 0, 0, 517, 3
Receiving NET, NO REACTOR, -1, 0, 7521369303990316839, -1, -999293755, NO TRIGGER, 0, 0, 543, 4
