Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Sending FED_ID, NO REACTOR, 2, -1, -1702002731964802533, 0, -1000477792, NO TRIGGER, 0, 0, 1114, 0
Receiving ACK, NO REACTOR, 2, -1, -1702002731964802533, 0, -1000359808, NO TRIGGER, 0, 0, 1148, 0
Sending TIMESTAMP, NO REACTOR, 2, -1, -1000340889, 0, -1000340199, NO TRIGGER, 0, 0, 471, 0
Receiving TIMESTAMP, NO REACTOR, 2, -1, 0, 0, -999790478, NO TRIGGER, 0, 0, 1206, 0
Sending NET, NO REACTOR, 2, -1, 0, 0, -999676262, NO TRIGGER, 0, 0, 522, 0
Receiving PTAG, NO REACTOR, 2, -1, 0, 0, -999448320, NO TRIGGER, 0, 0, 2100, 0
Receiving TAGGED_MSG, NO REACTOR, 2, -1, 0, 0, -998531845, NO TRIGGER, 0, 0, 1724, 0
Receiving TAG, NO REACTOR, 2, -1, 0, 0, -998469630, NO TRIGGER, 0, 0, 1880, 0
Sending LTC, NO REACTOR, 2, -1, 0, 0, -998438358, NO TRIGGER, 0, 0, 522, 1
Sending NET, NO REACTOR, 2, -1, 1000000000, 0, -998415391, NO TRIGGER, 0, 0, 522, 2
Receiving PTAG, NO REACTOR, 2, -1, 1000000000, 0, -998192926, NO TRIGGER, 0, 0, 2100, 1
Receiving PORT_ABS, NO REACTOR, 2, -1, 1000000000, 0, -998126503, NO TRIGGER, 0, 0, 1605, 0
Sending LTC, NO REACTOR, 2, -1, 1000000000, 0, -998114760, NO TRIGGER, 0, 0, 522, 3
Sending NET, NO REACTOR, 2, -1, 7521369304889973274, -1, -998098189, NO TRIGGER, 0, 0, 522, 4
Receiving TAG, NO REACTOR, 2, -1, 1000000000, 0, -998021512, NO TRIGGER, 0, 0, 1880, 1
Receiving TAG, NO REACTOR, 2, -1, 7521369304889973274, -1, -997897372, NO TRIGGER, 0, 0, 1880, 2
