Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Receiving FED_ID, NO REACTOR, -1, 1, -1702260913102401974, 0, -1000053778, NO TRIGGER, 0, 0, 1173, 2
Sending ACK, NO REACTOR, -1, 1, -1702260913102401974, 0, -1000051334, NO TRIGGER, 0, 0, 1238, 2
Receiving TIMESTAMP, NO REACTOR, -1, 1, -1000000000, 0, -999917935, NO TRIGGER, 0, 0, 802, 2
Sending TIMESTAMP, NO REACTOR, -1, 1, 0, 0, -999912278, NO TRIGGER, 0, 0, 835, 0
Sending PTAG, NO REACTOR, -1, 1, 0, 0, -999757229, NO TRIGGER, 0, 0, 237, 1
Receiving NET, NO REACTOR, -1, 1, 0, 0, -999684732, NO TRIGGER, 0, 0, 543, 2
Receiving PORT_ABS, NO REACTOR, -1, 1, 0, 0, -999625017, NO TRIGGER, 0, 0, 311, 0
Sending TAGGED_MSG, NO REACTOR, -1, 1, 0, 0, -999521721, NO TRIGGER, 0, 0, 479, 0
Sending TAG, NO REACTOR, -1, 1, 0, 0, -999502654, NO TRIGGER, 0, 0, 198, 0
Receiving TAGGED_MSG, NO REACTOR, -1, 1, 0, 0, -999411580, NO TRIGGER, 0, 0, 402, 1
Receiving LTC, NO REACTOR, -1, 1, 0, 0, -999389719, NO TRIGGER, 0, 0, 517, 1
Receiving NET, NO REACTOR, -1, 1, 1000000000, 0, -999364925, NO TRIGGER, 0, 0, 543, 4
Sending PTAG, NO REACTOR, -1, 1, 1000000000, 0, -999362970, NO TRIGGER, 0, 0, 237, 3
Receiving PORT_ABS, NO REACTOR, -1, 1, 1000000000, 0, -999302836, NO TRIGGER, 0, 0, 311, 1
Sending PORT_ABS, NO REACTOR, -1, 1, 1000000000, 0, -999238232, NO TRIGGER, 0, 0, 356, 2
Sending TAG, NO REACTOR, -1, 1, 1000000000, 0, -999221749, NO TRIGGER, 0, 0, 198, 2
Receiving PORT_ABS, NO REACTOR, -1, 1, 1000000000, 0, -999183056, NO TRIGGER, 0, 0, 311, 3
Receiving LTC, NO REACTOR, -1, 1, 1000000000, 0, -999167761, NO TRIGGER, 0, 0, 517, 4
Receiving NET, NO REACTOR, -1, 1, 7521111123752373833, -1, -999144853, NO TRIGGER, 0, 0, 543, 7
Sending TAG, NO REACTOR, -1, 1, 7521111123752373833, -1, -999093449, NO TRIGGER, 0, 0, 198, 4
Receiving FED_ID, NO REACTOR, -1, 2, -1702260913102401974, 0, -1000283908, NO TRIGGER, 0, 0, 1173, 1
Sending ACK, NO REACTOR, -1, 2, -1702260913102401974, 0, -1000281603, NO TRIGGER, 0, 0, 1238, 1
Receiving TIMESTAMP, NO REACTOR, -1, 2, -1000237603, 0, -1000162313, NO TRIGGER, 0, 0, 802, 1
Sending TIMESTAMP, NO REACTOR, -1, 2, 0, 0, -999901313, NO TRIGGER, 0, 0, 835, 1
Receiving NET, NO REACTOR, -1, 2, 0, 0, -999736276, NO TRIGGER, 0, 0, 543, 1
Sending PTAG, NO REACTOR, -1, 2, 0, 0, -999709526, NO TRIGGER, 0, 0, 237, 2
Sending TAGGED_MSG, NO REACTOR, -1, 2, 0, 0, -999408716, NO TRIGGER, 0, 0, 479, 1
Sending TAG, NO REACTOR, -1, 2, 0, 0, -999387345, NO TRIGGER, 0, 0, 198, 1
Receiving LTC, NO REACTOR, -1, 2, 0, 0, -999292918, NO TRIGGER, 0, 0, 517, 2
Receiving NET, NO REACTOR, -1, 2, 1000000000, 0, -999265750, NO TRIGGER, 0, 0, 543, 5
Sending PTAG, NO REACTOR, -1, 2, 1000000000, 0, -999263375, NO TRIGGER, 0, 0, 237, 5
Sending PORT_ABS, NO REACTOR, -1, 2, 1000000000, 0, -999181101, NO TRIGGER, 0, 0, 356, 3
Sending TAG, NO REACTOR, -1, 2, 1000000000, 0, -999165945, NO TRIGGER, 0, 0, 198, 3
Receiving LTC, NO REACTOR, -1, 2, 1000000000, 0, -999096801, NO TRIGGER, 0, 0, 517, 5
Sending TAG, NO REACTOR, -1, 2, 7521111123752373833, -1, -999048052, NO TRIGGER, 0, 0, 198, 5
Receiving NET, NO REACTOR, -1, 2, 7521111123752373833, -1, -999026610, NO TRIGGER, 0, 0, 543, 8
Receiving FED_ID, NO REACTOR, -1, 0, -1702260913102401974, 0, -1000533454, NO TRIGGER, 0, 0, 1173, 0
Sending ACK, NO REACTOR, -1, 0, -1702260913102401974, 0, -1000531079, NO TRIGGER, 0, 0, 1238, 0
Receiving TIMESTAMP, NO REACTOR, -1, 0, -1000471504, 0, -1000379382, NO TRIGGER, 0, 0, 802, 0
Sending TIMESTAMP, NO REACTOR, -1, 0, 0, 0, -999895167, NO TRIGGER, 0, 0, 835, 2
Receiving NET, NO REACTOR, -1, 0, 0, 0, -999801369, NO TRIGGER, 0, 0, 543, 0
Sending PTAG, NO REACTOR, -1, 0, 0, 0, -999771546, NO TRIGGER, 0, 0, 237, 0
Sending PORT_ABS, NO REACTOR, -1, 0, 0, 0, -999623201, NO TRIGGER, 0, 0, 356, 0
Receiving TAGGED_MSG, NO REACTOR, -1, 0, 0, 0, -999524515, NO TRIGGER, 0, 0, 402, 0
Receiving LTC, NO REACTOR, -1, 0, 0, 0, -999505098, NO TRIGGER, 0, 0, 517, 0
Receiving NET, NO REACTOR, -1, 0, 1000000000, 0, -999483168, NO TRIGGER, 0, 0, 543, 3
Sending PTAG, NO REACTOR, -1, 0, 1000000000, 0, -999351516, NO TRIGGER, 0, 0, 237, 4
Sending PORT_ABS, NO REACTOR, -1, 0, 1000000000, 0, -999301439, NO TRIGGER, 0, 0, 356, 1
Receiving PORT_ABS, NO REACTOR, -1, 0, 1000000000, 0, -999240117, NO TRIGGER, 0, 0, 311, 2
Receiving LTC, NO REACTOR, -1, 0, 1000000000, 0, -999223216, NO TRIGGER, 0, 0, 517, 3
Receiving NET, NO REACTOR, -1, 0, 7521111123752373833, -1, -999203031, NO TRIGGER, 0, 0, 543, 6
