Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Sending FED_ID, NO REACTOR, 0, -1, -1702002733045486469, 0, -1000331012, NO TRIGGER, 0, 0, 1114, 0
Receiving ACK, NO REACTOR, 0, -1, -1702002733045486469, 0, -1000233072, NO TRIGGER, 0, 0, 1148, 0
Sending TIMESTAMP, NO REACTOR, 0, -1, -1000207223, 0, -1000206613, NO TRIGGER, 0, 0, 471, 0
Receiving TIMESTAMP, NO REACTOR, 0, -1, 0, 0, -999795605, NO TRIGGER, 0, 0, 1206, 0
Sending NET, NO REACTOR, 0, -1, 0, 0, -999730302, NO TRIGGER, 0, 0, 522, 0
Sending TAGGED_MSG, NO REACTOR, 0, -1, 0, 0, -999669548, NO TRIGGER, 0, 0, 435, 0
Receiving PTAG, NO REACTOR, 0, -1, 0, 0, -999630144, NO TRIGGER, 0, 0, 2100, 0
Sending LTC, NO REACTOR, 0, -1, 0, 0, -999595958, NO TRIGGER, 0, 0, 522, 1
Sending NET, NO REACTOR, 0, -1, 0, 1, -999587862, NO TRIGGER, 0, 0, 522, 2
Sending PORT_ABS, NO REACTOR, 0, -1, 0, 1, -999578066, NO TRIGGER, 0, 0, 1440, 0
Sending LTC, NO REACTOR, 0, -1, 0, 1, -999570919, NO TRIGGER, 0, 0, 522, 3
Sending NET, NO REACTOR, 0, -1, 1000000, 0, -999565461, NO TRIGGER, 0, 0, 522, 4
Sending PORT_ABS, NO REACTOR, 0, -1, 1000000, 0, -999557474, NO TRIGGER, 0, 0, 1440, 1
Sending LTC, NO REACTOR, 0, -1, 1000000, 0, -999549288, NO TRIGGER, 0, 0, 522, 5
Sending NET, NO REACTOR, 0, -1, 7521369303809289338, -1, -999541131, NO TRIGGER, 0, 0, 522, 6
