Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Sending FED_ID, NO REACTOR, 1, -1, -1702002733045486469, 0, -1000091032, NO TRIGGER, 0, 0, 1114, 0
Receiving ACK, NO REACTOR, 1, -1, -1702002733045486469, 0, -1000022290, NO TRIGGER, 0, 0, 1148, 0
Sending TIMESTAMP, NO REACTOR, 1, -1, -1000000000, 0, -999999460, NO TRIGGER, 0, 0, 471, 0
Receiving TIMESTAMP, NO REACTOR, 1, -1, 0, 0, -999817526, NO TRIGGER, 0, 0, 1206, 0
Sending NET, NO REACTOR, 1, -1, 0, 0, -999742487, NO TRIGGER, 0, 0, 522, 0
Receiving PTAG, NO REACTOR, 1, -1, 0, 0, -999644818, NO TRIGGER, 0, 0, 2100, 0
Receiving TAGGED_MSG, NO REACTOR, 1, -1, 0, 0, -999557284, NO TRIGGER, 0, 0, 1724, 0
Receiving TAG, NO REACTOR, 1, -1, 0, 0, -999513543, NO TRIGGER, 0, 0, 1880, 0
Receiving PORT_ABS, NO REACTOR, 1, -1, 0, 1, -999510814, NO TRIGGER, 0, 0, 1605, 0
Receiving TAG, NO REACTOR, 1, -1, 0, 1, -999505996, NO TRIGGER, 0, 0, 1880, 1
Receiving PORT_ABS, NO REACTOR, 1, -1, 1000000, 0, -999503277, NO TRIGGER, 0, 0, 1605, 1
Receiving TAG, NO REACTOR, 1, -1, 1000000, 0, -999489473, NO TRIGGER, 0, 0, 1880, 2
Sending LTC, NO REACTOR, 1, -1, 0, 0, -999460815, NO TRIGGER, 0, 0, 522, 1
Sending LTC, NO REACTOR, 1, -1, 0, 1, -999429718, NO TRIGGER, 0, 0, 522, 2
Sending NET, NO REACTOR, 1, -1, 1000000, 0, -999421241, NO TRIGGER, 0, 0, 522, 3
Receiving TAG, NO REACTOR, 1, -1, 7521369303809289338, -1, -999392323, NO TRIGGER, 0, 0, 1880, 3
Sending LTC, NO REACTOR, 1, -1, 1000000, 0, -999383917, NO TRIGGER, 0, 0, 522, 4
