Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Receiving FED_ID, NO REACTOR, -1, 1, -1702002733045486469, 0, -1000055417, NO TRIGGER, 0, 0, 1173, 1
Sending ACK, NO REACTOR, -1, 1, -1702002733045486469, 0, -1000053917, NO TRIGGER, 0, 0, 1238, 1
Receiving TIMESTAMP, NO REACTOR, -1, 1, -1000000000, 0, -999856530, NO TRIGGER, 0, 0, 802, 1
Sending TIMESTAMP, NO REACTOR, -1, 1, 0, 0, -999851472, NO TRIGGER, 0, 0, 835, 0
Receiving NET, NO REACTOR, -1, 1, 0, 0, -999720356, NO TRIGGER, 0, 0, 543, 0
Sending PTAG, NO REACTOR, -1, 1, 0, 0, -999667648, NO TRIGGER, 0, 0, 237, 0
Sending TAGGED_MSG, NO REACTOR, -1, 1, 0, 0, -999577516, NO TRIGGER, 0, 0, 479, 0
Sending TAG, NO REACTOR, -1, 1, 0, 0, -999554935, NO TRIGGER, 0, 0, 198, 0
Sending PORT_ABS, NO REACTOR, -1, 1, 0, 1, -999542201, NO TRIGGER, 0, 0, 356, 0
Sending TAG, NO REACTOR, -1, 1, 0, 1, -999533404, NO TRIGGER, 0, 0, 198, 1
Sending PORT_ABS, NO REACTOR, -1, 1, 1000000, 0, -999522229, NO TRIGGER, 0, 0, 356, 1
Sending TAG, NO REACTOR, -1, 1, 1000000, 0, -999513013, NO TRIGGER, 0, 0, 198, 2
Sending TAG, NO REACTOR, -1, 1, 7521369303809289338, -1, -999472040, NO TRIGGER, 0, 0, 198, 3
Receiving LTC, NO REACTOR, -1, 1, 0, 0, -999423080, NO TRIGGER, 0, 0, 517, 3
Receiving LTC, NO REACTOR, -1, 1, 0, 1, -999404048, NO TRIGGER, 0, 0, 517, 4
Receiving NET, NO REACTOR, -1, 1, 1000000, 0, -999401440, NO TRIGGER, 0, 0, 543, 5
Receiving LTC, NO REACTOR, -1, 1, 1000000, 0, -999362056, NO TRIGGER, 0, 0, 517, 5
Receiving FED_ID, NO REACTOR, -1, 0, -1702002733045486469, 0, -1000277654, NO TRIGGER, 0, 0, 1173, 0
Sending ACK, NO REACTOR, -1, 0, -1702002733045486469, 0, -1000275285, NO TRIGGER, 0, 0, 1238, 0
Receiving TIMESTAMP, NO REACTOR, -1, 0, -1000207223, 0, -1000058755, NO TRIGGER, 0, 0, 802, 0
Sending TIMESTAMP, NO REACTOR, -1, 0, 0, 0, -999841506, NO TRIGGER, 0, 0, 835, 1
Sending PTAG, NO REACTOR, -1, 0, 0, 0, -999652495, NO TRIGGER, 0, 0, 237, 1
Receiving NET, NO REACTOR, -1, 0, 0, 0, -999632593, NO TRIGGER, 0, 0, 543, 1
Receiving TAGGED_MSG, NO REACTOR, -1, 0, 0, 0, -999579355, NO TRIGGER, 0, 0, 402, 0
Receiving LTC, NO REACTOR, -1, 0, 0, 0, -999556675, NO TRIGGER, 0, 0, 517, 0
Receiving NET, NO REACTOR, -1, 0, 0, 1, -999545669, NO TRIGGER, 0, 0, 543, 2
Receiving PORT_ABS, NO REACTOR, -1, 0, 0, 1, -999542441, NO TRIGGER, 0, 0, 311, 0
Receiving LTC, NO REACTOR, -1, 0, 0, 1, -999533734, NO TRIGGER, 0, 0, 517, 1
Receiving NET, NO REACTOR, -1, 0, 1000000, 0, -999525208, NO TRIGGER, 0, 0, 543, 3
Receiving PORT_ABS, NO REACTOR, -1, 0, 1000000, 0, -999522419, NO TRIGGER, 0, 0, 311, 1
Receiving LTC, NO REACTOR, -1, 0, 1000000, 0, -999513373, NO TRIGGER, 0, 0, 517, 2
Receiving NET, NO REACTOR, -1, 0, 7521369303809289338, -1, -999489873, NO TRIGGER, 0, 0, 543, 4
