Event, Reactor, Source, Destination, Elapsed Logical Time, Microstep, Elapsed Physical Time, Trigger, Extra Delay, File Index, Line Number, Sequence Number for File and Line
Receiving FED_ID, NO REACTOR, -1, 1, -1701549481069521997, 0, -1000079380, NO TRIGGER, 0, 0, 1154, 1
Sending ACK, NO REACTOR, -1, 1, -1701549481069521997, 0, -1000073048, NO TRIGGER, 0, 0, 1219, 1
Receiving TIMESTAMP, NO REACTOR, -1, 1, -1000000000, 0, -991246048, NO TRIGGER, 0, 0, 783, 1
Sending TIMESTAMP, NO REACTOR, -1, 1, 0, 0, -991216442, NO TRIGGER, 0, 0, 816, 0
Receiving NET, NO REACTOR, -1, 1, 0, 0, -990922497, NO TRIGGER, 0, 0, 524, 1
Sending PTAG, NO REACTOR, -1, 1, 0, 0, -990920723, NO TRIGGER, 0, 0, 218, 1
Sending PTAG, NO REACTOR, -1, 1, 0, 0, -990906326, NO TRIGGER, 0, 0, 218, 2
Sending PORT_ABS, NO REACTOR, -1, 1, 0, 0, -952105587, NO TRIGGER, 0, 0, 337, 0
Receiving PORT_ABS, NO REACTOR, -1, 1, 0, 0, -942508863, NO TRIGGER, 0, 0, 292, 1
Receiving LTC, NO REACTOR, -1, 1, 0, 0, -942435785, NO TRIGGER, 0, 0, 498, 0
Receiving NET, NO REACTOR, -1, 1, 2000000000, 0, -942411539, NO TRIGGER, 0, 0, 524, 2
Sending PTAG, NO REACTOR, -1, 1, 2000000000, 0, -942290791, NO TRIGGER, 0, 0, 218, 4
Receiving PORT_ABS, NO REACTOR, -1, 1, 2000000000, 0, -942138904, NO TRIGGER, 0, 0, 292, 2
Sending PORT_ABS, NO REACTOR, -1, 1, 2000000000, 0, -942068371, NO TRIGGER, 0, 0, 337, 3
Receiving LTC, NO REACTOR, -1, 1, 2000000000, 0, -941534141, NO TRIGGER, 0, 0, 498, 2
Receiving NET, NO REACTOR, -1, 1, 7521822555785253810, -1, -941508463, NO TRIGGER, 0, 0, 524, 4
Receiving FED_ID, NO REACTOR, -1, 0, -1701549481069521997, 0, -1008459835, NO TRIGGER, 0, 0, 1154, 0
Sending ACK, NO REACTOR, -1, 0, -1701549481069521997, 0, -1008450267, NO TRIGGER, 0, 0, 1219, 0
Receiving TIMESTAMP, NO REACTOR, -1, 0, -1004644776, 0, -995883491, NO TRIGGER, 0, 0, 783, 0
Sending TIMESTAMP, NO REACTOR, -1, 0, 0, 0, -991074113, NO TRIGGER, 0, 0, 816, 1
Receiving NET, NO REACTOR, -1, 0, 0, 0, -990946492, NO TRIGGER, 0, 0, 524, 0
Sending PTAG, NO REACTOR, -1, 0, 0, 0, -990942765, NO TRIGGER, 0, 0, 218, 0
Receiving PORT_ABS, NO REACTOR, -1, 0, 0, 0, -952125184, NO TRIGGER, 0, 0, 292, 0
Sending PORT_ABS, NO REACTOR, -1, 0, 0, 0, -942502721, NO TRIGGER, 0, 0, 337, 1
Sending TAG, NO REACTOR, -1, 0, 0, 0, -942433591, NO TRIGGER, 0, 0, 179, 0
Receiving LTC, NO REACTOR, -1, 0, 0, 0, -942344653, NO TRIGGER, 0, 0, 498, 1
Receiving NET, NO REACTOR, -1, 0, 2000000000, 0, -942310698, NO TRIGGER, 0, 0, 524, 3
Sending PTAG, NO REACTOR, -1, 0, 2000000000, 0, -942302814, NO TRIGGER, 0, 0, 218, 3
Sending PORT_ABS, NO REACTOR, -1, 0, 2000000000, 0, -942137151, NO TRIGGER, 0, 0, 337, 2
Receiving PORT_ABS, NO REACTOR, -1, 0, 2000000000, 0, -942069743, NO TRIGGER, 0, 0, 292, 3
Sending TAG, NO REACTOR, -1, 0, 2000000000, 0, -941526887, NO TRIGGER, 0, 0, 179, 1
Sending TAG, NO REACTOR, -1, 0, 7521822555785253810, -1, -941481642, NO TRIGGER, 0, 0, 179, 2
Receiving LTC, NO REACTOR, -1, 0, 2000000000, 0, -928947637, NO TRIGGER, 0, 0, 498, 3
Receiving NET, NO REACTOR, -1, 0, 7521822555785253810, -1, -928920777, NO TRIGGER, 0, 0, 524, 5
